possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
WPG,3,2,5.0,32.0,900,-13.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete deep right to #10 N.Demski thrown to MTL05,6401,26-6	,Medium (4-7),Opponent Territory,Trailing 8+,Early Half
MTL,4,1,10.0,70.0,860,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #6 T.Philpot caught at MTL40, for 9 yards to the MTL49 (#19 K.Wilson)",6401,27-1	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,4,2,1.0,61.0,834,12.0,0,Nothing,"#7 C.Fajardo rush middle for 1 yard gain to the MTL50 (#19 K.Wilson), 1ST DOWN",6401,27-2	,Short (1-3),Own Territory,Leading 8+,Early Half
MTL,4,1,10.0,60.0,796,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #25 W.Fletcher caught at MTL43, for 7 yards loss to the MTL43 (#19 K.Wilson)",6401,27-3	,Long (8+),Midfield,Leading 8+,Early Half
MTL,4,2,17.0,67.0,749,12.0,0,Nothing,"Shotgun #7 C.Fajardo rush right for 7 yards gain to the MTL50 (#37 B.Alexander), out of bounds PENALTY WPG Face mask (#37 B.Alexander) 15 yards from MTL50 to WPG45, 1ST DOWN",6401,27-4	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,4,1,10.0,45.0,735,12.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 5 yards gain to the WPG40 (#41 B.Cole),6401,27-5	,Long (8+),Midfield,Leading 8+,Early Half
MTL,4,2,5.0,40.0,700,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #11 K.Julien-Grant caught at WPG40, for 20 yards to the WPG20 (#31 E.Holm), 1ST DOWN",6401,27-6	,Medium (4-7),Opponent Territory,Leading 8+,Early Half
MTL,4,1,10.0,20.0,676,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #6 T.Philpot caught at WPG23, for 1 yard to the WPG19 (#30 T.Ford)",6401,27-7	,Long (8+),Red Zone,Leading 8+,Early Half
MTL,4,2,9.0,19.0,638,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #6 T.Philpot caught at WPG23, for 5 yards to the WPG14 (#41 B.Cole)",6401,27-8	,Long (8+),Red Zone,Leading 8+,Early Half
WPG,4,1,10.0,70.0,587,-15.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #20 B.Oliveira caught at WPG41, for 4 yards to the WPG44 (#42 T.Richards)",6401,28-1	,Long (8+),Own Territory,Trailing 8+,Late Half
