possession_team,down,distance_bucket,field_bucket,score_bucket,time_bucket,plays,pass_prob_hist,avg_yards,avg_yards_to_endzone,avg_score_diff,avg_seconds_in_half,league_plays,league_pass_prob_hist,pass_prob_delta_vs_league
BC,2,Medium (4-7),Own Deep,Leading 8+,Early Half,4,1.0,5.0,87.25,9.75,1093.5,11,0.8181818181818182,0.18181818181818177
BC,2,Medium (4-7),Own Deep,Leading 8+,Late Half,2,1.0,5.0,94.5,17.5,229.5,9,0.7777777777777778,0.2222222222222222
BC,2,Medium (4-7),Own Deep,Tied,Early Half,1,1.0,4.0,91.0,0.0,696.0,19,1.0,0.0
BC,2,Medium (4-7),Own Deep,Trailing 1-7,Early Half,2,1.0,5.5,92.5,-2.5,918.5,23,0.9130434782608695,0.08695652173913049
BC,2,Medium (4-7),Own Deep,Trailing 1-7,Late Half,1,1.0,5.0,89.0,-4.0,490.0,11,1.0,0.0
BC,2,Medium (4-7),Own Deep,Trailing 8+,Early Half,1,1.0,6.0,87.0,-19.0,1150.0,13,1.0,0.0
BC,2,Medium (4-7),Own Territory,Leading 1-7,2-min,1,0.0,4.0,64.0,5.0,0.0,11,0.8181818181818182,-0.8181818181818182
BC,2,Medium (4-7),Own Territory,Leading 1-7,Early Half,5,0.8,5.8,68.6,6.0,1209.6,68,0.8088235294117647,-0.008823529411764675
BC,2,Medium (4-7),Own Territory,Leading 1-7,Late Half,2,1.0,6.5,70.0,4.5,361.5,18,0.8888888888888888,0.11111111111111116
BC,2,Medium (4-7),Own Territory,Leading 8+,Early Half,4,0.75,6.25,74.25,13.0,1145.5,33,0.8181818181818182,-0.06818181818181823
BC,2,Medium (4-7),Own Territory,Leading 8+,Late Half,3,1.0,5.666666666666667,70.66666666666667,14.333333333333334,422.6666666666667,20,0.8,0.19999999999999996
BC,2,Medium (4-7),Own Territory,Tied,Early Half,8,1.0,5.625,69.875,0.0,1640.625,61,0.8688524590163934,0.1311475409836066
BC,2,Medium (4-7),Own Territory,Tied,Late Half,2,1.0,6.5,64.5,0.0,176.5,6,1.0,0.0
